Invasion,Invading ,Defending ,Time Period
2022 al-Shabaab invasion of Ethiopia,Al-Shabaab,Ethiopia,2000-Present
2022 invasion of Ukraine,Russia,Ukraine,2000-Present
2018 invasion of Socotra,United Arab Emirates,Yemen,2000-Present
2017 invasion of the Gambia,Senegal,Gambia,2000-Present
2017 invasion of the Gambia,Nigeria,Gambia,2000-Present
2017 invasion of the Gambia,Ghana,Gambia,2000-Present
2016 invasion of Syria,Turkey,"Rojava
 Islamic State
 Syria",2000-Present
2014 invasion of Gaza,Israel,Gaza Strip,2000-Present
2014 invasion of Ukraine,Russia,Ukraine,2000-Present
2011 invasion of Somalia,Kenya,Somalia,2000-Present
2008 invasion of Gaza,Israel,Gaza Strip,2000-Present
2008 invasion of Georgia,Russia,Georgia,2000-Present
2008 invasion of Anjouan,Comoros,Anjouan,2000-Present
2006 invasion of Somalia,Ethiopia,Somalia,2000-Present
2006 invasion of Lebanon,Israel,Lebanon,2000-Present
2004 invasion of Gaza,Israel,Gaza Strip,2000-Present
2003 invasion of Iraq,United States,Iraq,2000-Present
2003 invasion of Iraq,United Kingdom,Iraq,2000-Present
2003 invasion of Iraq,Australia,Iraq,2000-Present
2003 invasion of Iraq,Poland,Iraq,2000-Present
2002 invasion of West Bank,Israel,West Bank,2000-Present
2001 invasion of Afghanistan,United States,Afghanistan(Taliban),2000-Present
2001 invasion of Afghanistan,United Kingdom,Afghanistan(Taliban),2000-Present
2001 invasion of Afghanistan,Canada,Afghanistan(Taliban),2000-Present
2001 invasion of Afghanistan,Australia,Afghanistan(Taliban),2000-Present
2001 invasion of Afghanistan,Northern Alliance,Afghanistan(Taliban),2000-Present
1999 invasion of Kargil,Pakistan,India,1945-1999
1998 invasion of Democratic Republic of Congo,Uganda,Democratic Republic of the Congo,1945-1999
1998 invasion of Democratic Republic of Congo,Rwanda,Democratic Republic of the Congo,1945-1999
1998 invasion of Democratic Republic of Congo,Burundi,Democratic Republic of the Congo,1945-1999
1998 invasion of Ethiopia,Eritrea,Ethiopia,1945-1999
1994 invasion of Haiti,United States,Haiti,1945-1999
1991 invasion of Iraq,United States,Iraq,1945-1999
1991 invasion of Iraq,United Kingdom,Iraq,1945-1999
1991 invasion of Iraq,Saudi Arabia,Iraq,1945-1999
1991 invasion of Iraq,Egypt,Iraq,1945-1999
1991 invasion of Iraq,Syria,Iraq,1945-1999
1991 invasion of Saudi Arabia,Iraq,Saudi Arabia,1945-1999
1990 invasion of Kuwait,Iraq,Kuwait,1945-1999
1990 invasion of Rwanda,Rwandan Patriotic Front,Rwanda,1945-1999
1989 invasion of Panama,United States,Panama,1945-1999
1988 invasion of Spratly Islands,China,Vietnam,1945-1999
1984 Indian capture of Siachen,India,Pakistan,1945-1999
1983 invasion of Grenada,United States,Grenada,1945-1999
1982 invasion of Iraq,Iran,Iraq,1945-1999
1982 invasion of Lebanon,Israel,"Palestine Liberation Organization
 Syria",1945-1999
1982 invasion of Falklands,Argentina,United Kingdom,1945-1999
1980 invasion of Iran,Iraq,Iran,1945-1999
1979 invasion of Afghanistan,Soviet Union,Afghanistan,1945-1999
1979 invasion of Thailand,Vietnam,Thailand,1945-1999
1979 invasion of Vietnam,China,Vietnam,1945-1999
1979 invasion of Uganda,Tanzania,Uganda,1945-1999
1978 invasion of Cambodia,Vietnam,Cambodia,1945-1999
1978 invasion of Tanzania,Uganda,Tanzania,1945-1999
1978 invasion of Lebanon,Israel,Palestine Liberation Organization,1945-1999
1977 invasion of Ethiopia,Somalia,Ethiopia,1945-1999
1976 invasion of Lebanon,Syria,Lebanon,1945-1999
1975 invasion of East Timor,Indonesia,East Timor,1945-1999
1975 invasion of Spanish Sahara,Morocco,Spain,1945-1999
1975 invasion of Koh Poulo Wai,Vietnam,Cambodia,1945-1999
1975 invasion of Thổ Chu Islands,Cambodia,Vietnam,1945-1999
1975 invasion of South Vietnam,North Vietnam,South Vietnam,1945-1999
1974 invasion of Cyprus,Turkey,Cyprus,1945-1999
1974 invasion of Paracel Islands,China,South Vietnam,1945-1999
1973 Invasion of Israel,Egypt,Israel,1945-1999
1973 Invasion of Israel,Syria,Israel,1945-1999
1972 invasion of South Vietnam,North Vietnam,South Vietnam,1945-1999
1971 invasion of Laos,South Vietnam,North Vietnam,1945-1999
1971 invasion of Laos,United States,North Vietnam,1945-1999
1971 invasion of Pakistan and East Pakistan,India,Pakistan,1945-1999
1970 invasion of Cambodia,United States,North Vietnam,1945-1999
1970 invasion of Cambodia,South Vietnam,North Vietnam,1945-1999
1970 invasion of Cambodia,North Vietnam,Khmer Republic,1945-1999
1968 invasion of Czechoslovakia,Soviet Union,Czechoslovakia,1945-1999
1968 invasion of Czechoslovakia,Bulgaria,Czechoslovakia,1945-1999
1968 invasion of Czechoslovakia,Hungary,Czechoslovakia,1945-1999
1968 invasion of Czechoslovakia,Poland,Czechoslovakia,1945-1999
1968 invasion of South Vietnam,North Vietnam,"South Vietnam
 United States",1945-1999
1968 invasion of South Vietnam,National Liberation Front,"South Vietnam
 United States",1945-1999
1968 invasion of South Vietnam,Soviet Union,"South Vietnam
 United States",1945-1999
1967 invasion of Kingdom of Sikkim Nathu La and Cho La clashes,China,"India
 Kingdom of Sikkim",1945-1999
1967 invasions of Biafra,Nigeria,Biafra,1945-1999
1967 invasions of Biafra,Biafra,Nigeria,1945-1999
1967 invasion of Egypt,Israel,Egypt,1945-1999
1967 invasion of Syria,Israel,Syria,1945-1999
1967 invasion of Jordan,Israel,Jordan,1945-1999
1965 counter-invasion of Pakistan,India,Pakistan,1945-1999
1965 invasion of Jammu and Kashmir,Pakistan,India,1945-1999
1965 invasion of Dominican Republic,United States,Dominican Republic,1945-1999
1962 invasion of Aksai Chin and Arunachal Pradesh,China,India,1945-1999
1961 invasion of New Guinea,Indonesia,Netherlands,1945-1999
1961 Indian annexation of Goa,India,Portugal,1945-1999
1961 invasion of Cuba,United States,Cuba,1945-1999
1958 invasion of Laos,North Vietnam,Laos,1945-1999
1957 invasion of Spanish Sahara,Morocco,"Spain
   
   -  Spanish Sahara

France",1945-1999
1956 invasion of Hungary,Soviet Union,Hungary,1945-1999
1956 invasion of Egypt,France,Egypt,1945-1999
1956 invasion of Egypt,United Kingdom,Egypt,1945-1999
1956 invasion of Egypt,Israel,Egypt,1945-1999
1954 Indian annexation of Dadra and Nagar Haveli,India,Portugal,1945-1999
1951 invasion of North Korea,United States,North Korea,1945-1999
1951 invasion of North Korea,South Korea,North Korea,1945-1999
1951 invasion of South Korea,United States,North Korea,1945-1999
1951 invasion of South Korea,South Korea,North Korea,1945-1999
1950 invasion of North Korea,United States,North Korea,1945-1999
1950 invasion of North Korea,South Korea,North Korea,1945-1999
1950 invasion of South Korea,North Korea,South Korea,1945-1999
1950 invasion of Tibet,China,Tibet,1945-1999
1948 Indian annexation of Hyderabad,India,Hyderabad State,1945-1999
1948 occupation of Palestine,Israel,Palestine,1945-1999
1947 invasion of Jammu and Kashmir,Pakistan,"India
Jammu and Kashmir",1945-1999
1946 invasion of Vietnam,France,Vietnam,1945-1999
1945 invasion of Vietnam,France,Vietnam,1945-1999
1945 invasion of Indonesia,Netherlands,Indonesia,1945-1999
"1945 invasion of occupied Asia
   
   - Manchuria
   - Okinawa
   - Formosa
   - Iwo Jima
   - Burma",United States,Japan,1939-1945
"1945 invasion of occupied Asia
   
   - Manchuria
   - Okinawa
   - Formosa
   - Iwo Jima
   - Burma",Soviet Union,Japan,1939-1945
"1945 invasion of occupied Asia
   
   - Manchuria
   - Okinawa
   - Formosa
   - Iwo Jima
   - Burma",Vietnam,Japan,1939-1945
"1945 invasion of occupied Asia
   
   - Manchuria
   - Okinawa
   - Formosa
   - Iwo Jima
   - Burma",United Kingdom,Japan,1939-1945
"1945 invasion of occupied Asia
   
   - Manchuria
   - Okinawa
   - Formosa
   - Iwo Jima
   - Burma",Mongolia,Japan,1939-1945
"1945 invasion of occupied Europe
   
   - German mainland
   - General Government
   - Ostland
   - Poland
   - Austria",Soviet Union,Germany,1939-1945
"1945 invasion of occupied Europe
   
   - German mainland
   - General Government
   - Ostland
   - Poland
   - Austria",Poland,Germany,1939-1945
1945 invasion of Croatia,Soviet Union,Croatia,1939-1945
1945 invasion of Slovakia,Soviet Union,Slovakia,1939-1945
1945 invasion of Italy,United States,Italy,1939-1945
1945 invasion of Italy,United Kingdom,Italy,1939-1945
1945 invasion of Italy,Italy,Italy,1939-1945
1944 invasion of Azad Hind,United Kingdom,Azad Hind,1939-1945
1944 invasion of Bulgaria,Soviet Union,Bulgaria,1939-1945
1944 invasion of Yugoslavia,Soviet Union,Yugoslavia,1939-1945
"1944 invasion of occupied Europe
   
   - Western Germany
   - Occupied France
   - Occupied Ukraine
   - Occupied Belgium
   - Occupied Netherlands
   - Occupied Luxembourg",United States,Germany,1939-1945
"1944 invasion of occupied Europe
   
   - Western Germany
   - Occupied France
   - Occupied Ukraine
   - Occupied Belgium
   - Occupied Netherlands
   - Occupied Luxembourg","Soviet Union
",Germany,1939-1945
"1944 invasion of occupied Europe
   
   - Western Germany
   - Occupied France
   - Occupied Ukraine
   - Occupied Belgium
   - Occupied Netherlands
   - Occupied Luxembourg",United Kingdom,Germany,1939-1945
